data_type,approaches,distribution,repetition,train_loss,val_loss,val_tn,val_fp,val_fn,val_tp,val_acc,val_bacc,val_prec,val_rec,val_f1,val_matthews_corrcoef
S1000,iil,setting3,0,0.12084662914276123,0.21430492401123047,102,5,3,61,0.9532163742690059,0.9531980140186915,0.9242424242424242,0.953125,0.9384615384615385,0.9010175541600056
S1000,Ciil,setting3,0,0.12461558729410172,0.22335755825042725,99,8,2,62,0.9415204678362573,0.9469918224299065,0.8857142857142857,0.96875,0.9253731343283582,0.8798360296182439
S1000,sst_uka,setting3,1,0.19931109249591827,0.22607862949371338,101,6,5,59,0.935672514619883,0.9329001168224299,0.9076923076923077,0.921875,0.9147286821705426,0.8631573312062805
S1000,sst_umg,setting3,1,0.14149990677833557,0.2738282084465027,100,7,5,59,0.9298245614035088,0.9282272196261683,0.8939393939393939,0.921875,0.9076923076923077,0.8513723143464529
S1000,sst_ukk,setting3,1,0.2752089202404022,0.23807570338249207,101,6,4,60,0.9415204678362573,0.9407126168224299,0.9090909090909091,0.9375,0.9230769230769231,0.8761949342532293
S1000,sst_ukl,setting3,1,0.08744078874588013,0.2219667285680771,96,11,1,63,0.9298245614035088,0.9407856308411215,0.8513513513513513,0.984375,0.9130434782608695,0.8610682443472155
S1000,sst_imise,setting3,1,0.1558372974395752,0.23373301327228546,103,4,5,59,0.9473684210526315,0.9422459112149533,0.9365079365079365,0.921875,0.9291338582677166,0.8873471226071058
S1000,sst_hsm,setting3,1,0.0543840229511261,0.20275820791721344,103,4,6,58,0.9415204678362573,0.9344334112149533,0.9354838709677419,0.90625,0.9206349206349206,0.8746332756603007
S1000,iil,setting3,1,0.10818576067686081,0.2063262015581131,103,4,3,61,0.9590643274853801,0.9578709112149533,0.9384615384615385,0.953125,0.9457364341085271,0.9129464705674794
S1000,Ciil,setting3,1,0.12029194086790085,0.2271280139684677,99,8,2,62,0.9415204678362573,0.9469918224299065,0.8857142857142857,0.96875,0.9253731343283582,0.8798360296182439
S1000,sst_uka,setting3,2,0.17424418032169342,0.21150845289230347,101,6,7,57,0.9239766081871345,0.9172751168224299,0.9047619047619048,0.890625,0.8976377952755905,0.8372443133068531
S1000,sst_umg,setting3,2,0.13299651443958282,0.2867867052555084,97,10,5,59,0.9122807017543859,0.9142085280373832,0.855072463768116,0.921875,0.8872180451127819,0.8171584509420609
S1000,sst_ukk,setting3,2,0.2958816885948181,0.2398233264684677,102,5,3,61,0.9532163742690059,0.9531980140186915,0.9242424242424242,0.953125,0.9384615384615385,0.9010175541600056
S1000,sst_ukl,setting3,2,0.08192674815654755,0.20929986238479614,99,8,1,63,0.9473684210526315,0.9548043224299065,0.8873239436619719,0.984375,0.9333333333333333,0.8933204595762
S1000,sst_imise,setting3,2,0.17914797365665436,0.23768214881420135,101,6,3,61,0.9473684210526315,0.9485251168224299,0.9104477611940298,0.953125,0.9312977099236641,0.889292374786322
S1000,sst_hsm,setting3,2,0.05540704354643822,0.20550204813480377,101,6,5,59,0.935672514619883,0.9329001168224299,0.9076923076923077,0.921875,0.9147286821705426,0.8631573312062805
S1000,iil,setting3,2,0.11829110980033875,0.213444784283638,103,4,4,60,0.9532163742690059,0.9500584112149533,0.9375,0.9375,0.9375,0.9001168224299065
S1000,Ciil,setting3,2,0.12893344461917877,0.24050112068653107,100,7,2,62,0.9473684210526315,0.9516647196261683,0.8985507246376812,0.96875,0.9323308270676691,0.8910527370928237
S1000,sst_uka,setting3,3,0.19664548337459564,0.22344085574150085,100,7,7,57,0.9181286549707602,0.9126022196261683,0.890625,0.890625,0.890625,0.8252044392523364
S1000,sst_umg,setting3,3,0.1480666995048523,0.25379371643066406,98,9,8,56,0.9005847953216374,0.8954439252336448,0.8615384615384616,0.875,0.8682170542635659,0.7884736221644822
S1000,sst_ukk,setting3,3,0.29153186082839966,0.24869541823863983,101,6,5,59,0.935672514619883,0.9329001168224299,0.9076923076923077,0.921875,0.9147286821705426,0.8631573312062805
S1000,sst_ukl,setting3,3,0.08773886412382126,0.22575077414512634,98,9,1,63,0.9415204678362573,0.9501314252336448,0.875,0.984375,0.9264705882352942,0.8824037794642225
S1000,sst_imise,setting3,3,0.1762084662914276,0.23889006674289703,101,6,3,61,0.9473684210526315,0.9485251168224299,0.9104477611940298,0.953125,0.9312977099236641,0.889292374786322
S1000,sst_hsm,setting3,3,0.0537896454334259,0.2027972936630249,103,4,6,58,0.9415204678362573,0.9344334112149533,0.9354838709677419,0.90625,0.9206349206349206,0.8746332756603007
S1000,iil,setting3,3,0.10664986073970795,0.20961986482143402,102,5,2,62,0.9590643274853801,0.9610105140186915,0.9253731343283582,0.96875,0.9465648854961832,0.9140472170602045
S1000,Ciil,setting3,3,0.12722907960414886,0.22172771394252777,101,6,2,62,0.9532163742690059,0.9563376168224299,0.9117647058823529,0.96875,0.9393939393939394,0.9024539970399188
