data_type,approaches,distribution,repetition,train_loss,val_loss,val_tn,val_fp,val_fn,val_tp,val_acc,val_bacc,val_prec,val_rec,val_f1,val_matthews_corrcoef
S,sst_umg,setting2,1,0.17179177701473236,0.23505903780460358,96,11,2,62,0.9239766081871345,0.9329731308411215,0.8493150684931506,0.96875,0.9051094890510949,0.8472241945699198
S,sst_ukk,setting2,1,0.3010852634906769,0.288966566324234,97,10,2,62,0.9298245614035088,0.9376460280373832,0.8611111111111112,0.96875,0.9117647058823529,0.8579283461652149
S,sst_ukl,setting2,1,0.09182373434305191,0.21990898251533508,102,5,9,55,0.9181286549707602,0.9063230140186915,0.9166666666666666,0.859375,0.8870967741935484,0.8240359865997461
S,sst_imise,setting2,1,0.1497119814157486,0.20554262399673462,104,3,10,54,0.9239766081871345,0.907856308411215,0.9473684210526315,0.84375,0.8925619834710744,0.8373927606052125
S,sst_hsm,setting2,1,0.10481515526771545,0.31188783049583435,87,20,1,63,0.8771929824561403,0.8987295560747663,0.7590361445783133,0.984375,0.8571428571428571,0.7721646550959779
S,iil,setting2,1,0.16925835609436035,0.29572075605392456,88,19,1,63,0.8830409356725146,0.9034024532710281,0.7682926829268293,0.984375,0.863013698630137,0.781535080835604
S,Ciil,setting2,1,0.18818308413028717,0.23581673204898834,95,12,4,60,0.9064327485380117,0.9126752336448598,0.8333333333333334,0.9375,0.8823529411764706,0.8089774795671997
S,sst_uka,setting2,2,0.12111318111419678,0.21052350103855133,101,6,12,52,0.8947368421052632,0.8782126168224299,0.896551724137931,0.8125,0.8524590163934426,0.7732050206832739
S,sst_umg,setting2,2,0.17211531102657318,0.24255789816379547,94,13,4,60,0.9005847953216374,0.9080023364485981,0.821917808219178,0.9375,0.8759124087591241,0.7983623607515534
S,sst_ukk,setting2,2,0.3016998767852783,0.2826877534389496,95,12,3,61,0.9122807017543859,0.9204877336448598,0.8356164383561644,0.953125,0.8905109489051095,0.8227932776607366
